Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,93.9564
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,13.1832
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,94.4574
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,90.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,77.3369
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,35.6678
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,30.548
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,38.3791
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,85.3951
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,40.6528
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,83.2412
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,71.275
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,91.2211
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czechia,CZE,85.994
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,98.7756
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,65.0248
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,83.8255
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,84.6161
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,72.6943
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,72.6899
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,67.6558
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,60.3661
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,20.0104
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,93.1834
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,57.62
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,79.3485
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,93.5139
Individuals using the Internet (% of population),IT.NET.USER.ZS,France,FRA,86.8364
Individuals using the Internet (% of population),IT.NET.USER.ZS,French Polynesia,PYF,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gabon,GAB,71.9256
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Gambia, The",GMB,45.9137
Individuals using the Internet (% of population),IT.NET.USER.ZS,Georgia,GEO,81.8843
Individuals using the Internet (% of population),IT.NET.USER.ZS,Germany,DEU,92.4764
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ghana,GHA,69.9445
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gibraltar,GIB,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greece,GRC,85.0102
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greenland,GRL,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Grenada,GRD,74.1201
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guam,GUM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guatemala,GTM,56.0535
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea,GIN,26.5014
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea-Bissau,GNB,32.4661
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guyana,GUY,81.7221
Individuals using the Internet (% of population),IT.NET.USER.ZS,Haiti,HTI,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Honduras,HND,58.2789
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Hong Kong SAR, China",HKG,95.9778
Individuals using the Internet (% of population),IT.NET.USER.ZS,Hungary,HUN,91.4501
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,99.8301
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,69.2084
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,79.6309
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iraq,IRQ,81.7291
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ireland,IRL,96.4974
Individuals using the Internet (% of population),IT.NET.USER.ZS,Isle of Man,IMN,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Israel,ISR,87.0384
Individuals using the Internet (% of population),IT.NET.USER.ZS,Italy,ITA,87.0278
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jamaica,JAM,89.473
Individuals using the Internet (% of population),IT.NET.USER.ZS,Japan,JPN,86.9815
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jordan,JOR,92.5344
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kazakhstan,KAZ,92.8785
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kenya,KEN,35
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kiribati,KIR,88
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Dem. People's Rep.",PRK,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Rep.",KOR,97.416
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kosovo,XKX,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kuwait,KWT,99.7473
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kyrgyz Republic,KGZ,88.4701
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lao PDR,LAO,63.6255
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latvia,LVA,92.1879
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lebanon,LBN,83.4933
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lesotho,LSO,47.991
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liberia,LBR,23.4979
Individuals using the Internet (% of population),IT.NET.USER.ZS,Libya,LBY,88.4989
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liechtenstein,LIE,97.3444
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lithuania,LTU,88.5029
Individuals using the Internet (% of population),IT.NET.USER.ZS,Luxembourg,LUX,99.3479
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Macao SAR, China",MAC,89.1806
Individuals using the Internet (% of population),IT.NET.USER.ZS,Madagascar,MDG,20.3671
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malawi,MWI,17.9881
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malaysia,MYS,97.6927
Individuals using the Internet (% of population),IT.NET.USER.ZS,Maldives,MDV,84.6851
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mali,MLI,35.0921
Individuals using the Internet (% of population),IT.NET.USER.ZS,Malta,MLT,92.0727
Individuals using the Internet (% of population),IT.NET.USER.ZS,Marshall Islands,MHL,65.7177
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritania,MRT,37.3809
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mauritius,MUS,79.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mexico,MEX,81.1832
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Micronesia, Fed. Sts.",FSM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Moldova,MDA,80.2126
Individuals using the Internet (% of population),IT.NET.USER.ZS,Monaco,MCO,99.1497
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mongolia,MNG,83.0162
Individuals using the Internet (% of population),IT.NET.USER.ZS,Montenegro,MNE,89.8052
Individuals using the Internet (% of population),IT.NET.USER.ZS,Morocco,MAR,91
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mozambique,MOZ,19.8434
Individuals using the Internet (% of population),IT.NET.USER.ZS,Myanmar,MMR,58.5357
Individuals using the Internet (% of population),IT.NET.USER.ZS,Namibia,NAM,64.4061
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nauru,NRU,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nepal,NPL,55.7716
Individuals using the Internet (% of population),IT.NET.USER.ZS,Netherlands,NLD,97.0068
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Caledonia,NCL,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,New Zealand,NZL,96.1638
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nicaragua,NIC,58.2314
Individuals using the Internet (% of population),IT.NET.USER.ZS,Niger,NER,23.1879
Individuals using the Internet (% of population),IT.NET.USER.ZS,Nigeria,NGA,39.2136
Individuals using the Internet (% of population),IT.NET.USER.ZS,North Macedonia,MKD,87.1819
Individuals using the Internet (% of population),IT.NET.USER.ZS,Northern Mariana Islands,MNP,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Norway,NOR,99
Individuals using the Internet (% of population),IT.NET.USER.ZS,Oman,OMN,95.2517
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pakistan,PAK,27.3759
Individuals using the Internet (% of population),IT.NET.USER.ZS,Palau,PLW,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Panama,PAN,68.5485
Individuals using the Internet (% of population),IT.NET.USER.ZS,Papua New Guinea,PNG,24.0667
Individuals using the Internet (% of population),IT.NET.USER.ZS,Paraguay,PRY,78.0948
Individuals using the Internet (% of population),IT.NET.USER.ZS,Peru,PER,79.4848
Individuals using the Internet (% of population),IT.NET.USER.ZS,Philippines,PHL,83.7661
Individuals using the Internet (% of population),IT.NET.USER.ZS,Poland,POL,86.4147
Individuals using the Internet (% of population),IT.NET.USER.ZS,Portugal,PRT,85.7901
Individuals using the Internet (% of population),IT.NET.USER.ZS,Puerto Rico (US),PRI,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Qatar,QAT,99.6528
Individuals using the Internet (% of population),IT.NET.USER.ZS,Romania,ROU,89.2034
Individuals using the Internet (% of population),IT.NET.USER.ZS,Russian Federation,RUS,92.245
Individuals using the Internet (% of population),IT.NET.USER.ZS,Rwanda,RWA,34.2005
Individuals using the Internet (% of population),IT.NET.USER.ZS,Samoa,WSM,58.1386
Individuals using the Internet (% of population),IT.NET.USER.ZS,San Marino,SMR,87.0278
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sao Tome and Principe,STP,61.4607
Individuals using the Internet (% of population),IT.NET.USER.ZS,Saudi Arabia,SAU,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,Senegal,SEN,60.6122
Individuals using the Internet (% of population),IT.NET.USER.ZS,Serbia,SRB,85.3575
Individuals using the Internet (% of population),IT.NET.USER.ZS,Seychelles,SYC,87.4009
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sierra Leone,SLE,20.635
Individuals using the Internet (% of population),IT.NET.USER.ZS,Singapore,SGP,94.2852
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sint Maarten (Dutch part),SXM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Slovak Republic,SVK,87.2131
Individuals using the Internet (% of population),IT.NET.USER.ZS,Slovenia,SVN,90.3779
Individuals using the Internet (% of population),IT.NET.USER.ZS,Solomon Islands,SLB,42.4597
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Somalia, Fed. Rep.",SOM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Africa,ZAF,75.6592
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Sudan,SSD,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Spain,ESP,95.4456
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sri Lanka,LKA,51.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Kitts and Nevis,KNA,76.4208
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Lucia,LCA,70.0834
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Martin (French part),MAF,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Vincent and the Grenadines,VCT,75.9927
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sudan,SDN,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Suriname,SUR,78.3958
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sweden,SWE,95.7033
Individuals using the Internet (% of population),IT.NET.USER.ZS,Switzerland,CHE,97.3444
Individuals using the Internet (% of population),IT.NET.USER.ZS,Syrian Arab Republic,SYR,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tajikistan,TJK,56.791
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tanzania,TZA,29.0638
Individuals using the Internet (% of population),IT.NET.USER.ZS,Thailand,THA,89.5353
Individuals using the Internet (% of population),IT.NET.USER.ZS,Timor-Leste,TLS,34.0207
Individuals using the Internet (% of population),IT.NET.USER.ZS,Togo,TGO,37.0223
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tonga,TON,58.5334
Individuals using the Internet (% of population),IT.NET.USER.ZS,Trinidad and Tobago,TTO,84.6994
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tunisia,TUN,72.3542
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkiye,TUR,85.9607
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkmenistan,TKM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turks and Caicos Islands,TCA,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tuvalu,TUV,74.3146
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uganda,UGA,15.2524
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ukraine,UKR,82.3755
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Arab Emirates,ARE,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Kingdom,GBR,96.2988
Individuals using the Internet (% of population),IT.NET.USER.ZS,United States,USA,93.1444
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uruguay,URY,89.896
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uzbekistan,UZB,89.0136
Individuals using the Internet (% of population),IT.NET.USER.ZS,Vanuatu,VUT,45.7313
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Venezuela, RB",VEN,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Viet Nam,VNM,78.08
Individuals using the Internet (% of population),IT.NET.USER.ZS,Virgin Islands (U.S.),VIR,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,West Bank and Gaza,PSE,86.6377
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Yemen, Rep.",YEM,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zambia,ZMB,33
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zimbabwe,ZWE,38.4266
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Eastern and Southern,AFE,27.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Western and Central,AFW,38.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Arab World,ARB,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Caribbean small states,CSS,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central Europe and the Baltics,CEB,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Early-demographic dividend,EAR,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific,EAS,84.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (excluding high income),EAP,84.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,85
Individuals using the Internet (% of population),IT.NET.USER.ZS,Euro area,EMU,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia,ECS,89.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (excluding high income),ECA,84.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,87.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,European Union,EUU,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fragile and conflict affected situations,FCS,36.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Heavily indebted poor countries (HIPC),HPC,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,High income,HIC,91.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,IBRD only,IBD,77.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA & IBRD total,IBT,65.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA blend,IDB,38.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA only,IDX,32.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA total,IDA,34.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Late-demographic dividend,LTE,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,80
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean (excluding high income),LAC,79.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,80.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Least developed countries: UN classification,LDC,29.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low & middle income,LMY,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low income,LIC,22
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lower middle income,LMC,55.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,59.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,55.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,55.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle income,MIC,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,North America,NAC,93.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Not classified,INX,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,OECD members,OED,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Other small states,OSS,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pacific island small states,PSS,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Post-demographic dividend,PST,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pre-demographic dividend,PRE,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Small states,SST,71.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Asia,SAS,58.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Asia (IDA & IBRD),TSA,58.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa,SSF,32.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (excluding high income),SSA,33.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,32.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Upper middle income,UMC,85.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,World,WLD,69.2
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2025,,,,
